Resolution in minutes,30 
Electricity price ($/Mwh),Carbon intensity (g/kWh)
30.19,162.87
30.19,170.94
25.35,163.80
25.35,171.01
21.12,164.64
21.12,159.19
21.07,160.92
21.07,162.17
22.44,164.47
22.44,168.99
25.48,172.70
25.48,174.65
26.65,180.80
26.65,181.98
28.89,181.05
28.89,180.35
25.91,181.45
25.91,179.36
30.88,178.19
30.88,179.19
32.35,175.13
32.35,174.78
35.12,178.33
35.12,177.27
34.49,183.07
34.49,185.46
33.36,184.36
33.36,184.39
32.95,187.40
32.95,187.88
30.24,191.40
30.24,196.77
38.29,197.40
38.29,199.36
58.89,204.01
58.89,206.69
44.38,205.00
44.38,202.32
42.88,203.21
42.88,201.49
42.94,200.41
42.94,201.24
38.72,200.30
38.72,198.38
31.65,194.98
31.65,188.96
27.81,184.47
27.81,187.90
29.14,174.11
29.14,175.30
24.3,173.56
24.3,173.67
24.25,172.17
24.25,178.45
23.68,182.83
23.68,180.68
22.55,172.36
22.55,176.59
24.04,179.14
24.04,185.92
18.03,190.85
18.03,189.51
24.69,183.70
24.69,188.61
17.68,191.78
17.68,193.39
31.49,191.96
31.49,193.50
31.43,189.52
31.43,187.33
32.86,183.59
32.86,182.26
31.96,183.07
31.96,180.89
29.67,184.84
29.67,184.18
28.94,184.61
28.94,184.11
26.6,184.21
26.6,187.98
36.04,195.89
36.04,197.92
52.4,202.31
52.4,205.79
47.12,208.81
47.12,210.15
35.07,206.51
35.07,207.56
35.13,204.60
35.13,204.76
30.69,199.28
30.69,200.61
21.21,195.45
21.21,187.37
28.83,173.72
28.83,171.39
31.93,167.68
31.93,172.19
27.64,173.37
27.64,173.72
28.05,174.13
28.05,170.81
27.08,170.50
27.08,169.91
26.63,170.89
26.63,172.39
27.11,167.27
27.11,165.60
20.25,174.95
20.25,178.30
17.6,181.41
17.6,173.77
18.44,173.43
18.44,175.55
24.64,172.34
24.64,170.11
30.64,172.37
30.64,170.89
29.92,170.02
29.92,169.14
29.96,169.11
29.96,169.10
29.28,169.43
29.28,170.88
29.47,171.42
29.47,176.92
27.89,182.70
27.89,186.67
33.71,191.23
33.71,200.71
44.92,205.37
44.92,205.02
43.28,204.91
43.28,203.76
34.35,205.88
34.35,204.07
36.36,211.25
36.36,208.71
30.84,198.46
30.84,194.54
27.25,188.03
27.25,183.10
29.26,183.10
29.26,188.92
32.76,193.82
32.76,193.75
31.39,194.08
31.39,193.73
31.21,194.54
31.21,197.64
31.56,201.58
31.56,203.05
31.34,203.20
31.34,213.28
34.56,224.57
34.56,233.53
43.73,246.81
43.73,247.12
44.27,247.13
44.27,242.80
40.51,241.40
40.51,243.78
40.95,241.34
40.95,239.59
45.68,236.81
45.68,236.23
47.87,236.87
47.87,236.33
46.22,237.20
46.22,236.50
43.9,237.81
43.9,237.57
39.72,235.83
39.72,235.46
36.19,235.91
36.19,238.42
46.88,242.38
46.88,249.03
72.59,253.73
72.59,257.29
63.07,257.58
63.07,257.30
57.54,256.70
57.54,253.86
49.63,254.25
49.63,253.55
45.48,251.71
45.48,251.20
44.44,246.58
44.44,232.34
39.63,226.82
39.63,218.52
38.75,206.99
38.75,207.51
41.53,204.95
41.53,198.57
39.39,199.22
39.39,198.98
39.39,198.99
39.39,192.94
33.17,199.42
33.17,209.10
34.88,206.38
34.88,206.49
53.56,212.23
53.56,226.65
64.06,239.71
64.06,240.70
54.11,239.19
54.11,240.39
50.9,244.17
50.9,253.12
45.95,259.70
45.95,252.15
46.14,245.47
46.14,240.20
43,243.11
43,236.03
40.95,235.75
40.95,236.15
40.18,239.53
40.18,242.24
39.04,239.16
39.04,239.68
44.63,241.32
44.63,239.64
68.19,241.77
68.19,245.85
58.26,246.07
58.26,249.42
50.24,251.57
50.24,252.71
45.86,247.98
45.86,244.82
43.27,247.52
43.27,241.63
45.68,233.85
45.68,229.37
35.98,226.04
35.98,212.17
49.01,191.25
49.01,185.10
48.11,182.99
48.11,181.95
46.06,182.40
46.06,183.19
45.56,182.07
45.56,185.76
47.45,189.01
47.45,188.25
55.74,191.94
55.74,199.01
66.18,214.03
66.18,217.67
49.05,210.83
49.05,213.65
35,214.09
35,208.70
38.07,206.50
38.07,203.18
45.93,200.40
45.93,196.82
42.73,198.63
42.73,196.86
38.07,196.88
38.07,198.29
33.25,202.57
33.25,205.60
31.64,209.08
31.64,206.21
30,205.83
30,216.84
56.44,215.79
56.44,216.61
84.05,221.01
84.05,221.37
73.59,222.99
73.59,221.66
63.63,217.44
63.63,214.24
55.81,215.58
55.81,216.62
50.19,214.50
50.19,211.89
44.32,209.88
44.32,208.84
40.63,207.80
40.63,203.94
46.96,214.64
46.96,211.77
36.11,215.28
36.11,216.56
35.54,216.49
35.54,217.35
34.92,218.39
34.92,221.16
34.72,226.03
34.72,229.29
33.49,234.34
33.49,236.24
37.68,237.85
37.68,237.38
49.77,236.60
49.77,237.72
45,238.18
45,236.68
50.16,238.04
50.16,239.80
45.33,242.46
45.33,236.95
39.05,240.62
39.05,242.00
32.1,237.87
32.1,236.11
31.36,235.91
31.36,233.39
30.37,236.51
30.37,235.96
31.35,236.43
31.35,238.53
45,241.49
45,240.66
57.68,244.15
57.68,248.15
53.08,252.55
53.08,250.80
44.91,249.10
44.91,247.87
42.04,245.57
42.04,242.90
34.77,239.61
34.77,232.45
31.01,223.96
31.01,215.63
30.66,214.76
30.66,208.48
35.98,200.92
35.98,197.16
33.59,190.60
33.59,189.93
30.92,189.17
30.92,190.27
30.26,189.40
30.26,187.25
29.69,191.37
29.69,194.84
31.06,200.28
31.06,206.79
42.18,210.46
42.18,208.47
49.81,208.17
49.81,211.34
44.05,212.92
44.05,212.80
44.75,217.00
44.75,218.42
40.27,222.62
40.27,223.09
34.24,220.28
34.24,219.56
31.07,216.98
31.07,218.34
30.52,219.50
30.52,218.88
29.48,216.71
29.48,217.71
31.94,219.25
31.94,220.67
39.56,223.28
39.56,226.29
53.83,228.08
53.83,227.34
50.57,225.84
50.57,222.41
41.06,223.82
41.06,221.74
38.52,219.87
38.52,219.07
34.93,215.20
34.93,208.32
30.2,192.00
30.2,190.20
24.21,183.05
24.21,178.36
31.9,187.05
31.9,184.69
30.64,176.38
30.64,172.11
28.66,173.88
28.66,170.67
27.98,167.95
27.98,169.42
23.61,169.57
23.61,169.71
25.27,173.51
25.27,172.70
26.86,176.42
26.86,178.63
25,181.39
25,183.59
27.93,191.69
27.93,196.12
32,199.84
32,197.28
32.16,191.17
32.16,191.40
32.08,191.12
32.08,198.72
28.12,197.33
28.12,193.99
25.96,190.75
25.96,187.21
26,188.94
26,194.90
26.22,196.67
26.22,199.35
32.29,205.28
32.29,204.96
44.99,217.36
44.99,220.68
41.54,220.85
41.54,218.77
35.69,212.38
35.69,212.75
32,211.12
32,210.59
29.34,197.37
29.34,192.66
27.16,175.12
27.16,169.05
26.24,168.91
